name,price,district,date_crawl,product_type,time_since_date_crawl,image_link,product_link,page,ram,rom
" Macbook Pro 14"" M1 Pro 16/512 Gray 99%",22500000,Quận Tân Bình,2025-04-29 01:54:33,Khác | 16 GB | 512 GB | SSD | ,9 giờ trước,https://cdn.chotot.com/9lpAwUMGCmGQSgynQRlQZRmZis1L76xWJf1ZVb5tF4E/preset:listing/plain/62596f389647f6348a93041df23eab27-2929020700500316248.jpg,https://www.chotot.com/mua-ban-laptop-quan-tan-binh-tp-ho-chi-minh/124638214.htm,1,16,512
 Macbook Pro 14 inch M1 Pro/16/512Gb đẹp keng Zin,24990000,Quận Tân Phú,2025-04-29 01:54:33,Khác | 16 GB | 512 GB | ,16 giờ trước,https://cdn.chotot.com/L5c3e-nN58HNyKWuUC9gBclFKZMaecD9AMyh5Gql5Fs/preset:listing/plain/71484d12d7cf4227487956916dc71165-2928981455638974552.jpg,https://www.chotot.com/mua-ban-laptop-quan-tan-phu-tp-ho-chi-minh/124627767.htm,1,16,512
 Macbook Pro 14 inch M1 Pro 32Gb 1TB 99% pin 94%,28990000,Quận Tân Bình,2025-04-29 01:54:33,Unknown,hôm qua,https://cdn.chotot.com/i86MNxyO09GNVb-31k6pn2GmSV08k_aXrcRR9cUZV68/preset:listing/plain/7cc5375504572c5a54271848fff633b1-2928844912167926073.jpg,https://www.chotot.com/mua-ban-laptop-quan-tan-binh-tp-ho-chi-minh/124610820.htm,1,32,1024
 Macbook Pro 14 inch M1 Pro 32/1TB Gray VN 98-99%,27500000,Quận Tân Bình,2025-04-29 01:54:33,32 GB | 1 TB | ,15 giờ trước,https://cdn.chotot.com/OPD3ovnRn_bEpVrf0HYb1OtMlv1K1eUa0pPQC0i_X1Y/preset:listing/plain/500e31c1aff499e7eb5e7bbfc580b2f5-2927863668478753081.jpg,https://www.chotot.com/mua-ban-laptop-quan-tan-binh-tp-ho-chi-minh/124454515.htm,1,32,1024
" Macbook Pro 14"" M1 Pro 16/512 Gray 99% Pin cao",26490000,Quận 10,2025-04-29 01:54:33,Khác | 16 GB | 512 GB | SSD | ,2 ngày trước,https://cdn.chotot.com/6HaDV5GN5vQNDfObNltCCYFmeS9qwMpHv5z-zQx5CI4/preset:listing/plain/7bdc7c081118778b905360db9f8684a1-2928736978236265418.jpg,https://www.chotot.com/mua-ban-laptop-quan-10-tp-ho-chi-minh/124600113.htm,1,16,512
" MacBook Pro 14"" M1, 16GB, 1TB, Máy Đẹp sạc",28900000,Quận Tân Bình,2025-04-29 01:54:33,Intel Core i7 | 16 GB | 1 TB | SSD | ,2 ngày trước,https://cdn.chotot.com/zG9Yms9xjW1Nq1zu1QYaTDw_J6clL5qKoUhICV6OroU/preset:listing/plain/2fa0d51f126920ab8ffa6ffd9dd6e87e-2928756056700687208.jpg,https://www.chotot.com/mua-ban-laptop-quan-tan-binh-tp-ho-chi-minh/124602628.htm,1,16,1024
" MACBOOK PRO 14"" M1",21900000,Quận 10,2025-04-29 01:54:33,Khác | 16 GB | 512 GB | SSD | ,4 ngày trước,https://cdn.chotot.com/IdYa0NubD2PXIFZ_dfWWHZPk0hnEp8-C9jPi_7s4yzo/preset:listing/plain/868d8d5e685f38e54dd0fa51f6c7e04f-2928006637727040407.jpg,https://www.chotot.com/mua-ban-laptop-quan-10-tp-ho-chi-minh/122730697.htm,1,16,512
 Macbook pro 14 inch M1 pro 32G RAM/1TB 99% giá tốt,31990000,Quận Tân Bình,2025-04-29 01:54:33,Khác | 32 GB | 1 TB | SSD | ,hôm qua,https://cdn.chotot.com/2y22bR5pNYfLrdMQPSw4RDlmOWyAZ1xa0Hmnw1x51uo/preset:listing/plain/b10b2e0244f81912067cbe3bd5a4d300-2928046907807322200.jpg,https://www.chotot.com/mua-ban-laptop-quan-tan-binh-tp-ho-chi-minh/124484816.htm,1,32,1024
 Macbook pro m1 14” - 16/512 99%,24000000,Quận Tân Phú,2025-04-29 01:54:33,16 GB | 512 GB | SSD | ,3 ngày trước,https://cdn.chotot.com/Loz3g-yLiTyC5dWAXZt31W5LucNKzfEsk2S52rZlCjs/preset:listing/plain/5baf2ee1850dbee0882f997d9fbf0531-2928570479302195268.jpg,https://www.chotot.com/mua-ban-laptop-quan-tan-phu-tp-ho-chi-minh/124572048.htm,1,16,512
" Macbook Pro 14"" M1 Pro 16/512 Gray 99% VN",25990000,Quận Tân Bình,2025-04-29 01:54:33,16 GB | 512 GB | SSD | ,5 ngày trước,https://cdn.chotot.com/t9JIWrAjbjQ0NbiEUpzcSRKHKeBs_odqcpgYyLc5RnE/preset:listing/plain/5f65c0c9381ffa89ddd5cd48aa246278-2928314557570425782.jpg,https://www.chotot.com/mua-ban-laptop-quan-tan-binh-tp-ho-chi-minh/124532490.htm,1,16,512
 Macbook Pro 14 inch M1 Pro /16/512Gb,20900000,Quận Tân Phú,2025-04-29 01:54:33,16 GB | 512 GB | ,6 ngày trước,https://cdn.chotot.com/lnkFt96mx460HY21bWtKaeLoDDwGHSzHxBDHmG5R_8g/preset:listing/plain/277544e31bf2aa5af95e1a3eba01352d-2928247413751554998.jpg,https://www.chotot.com/mua-ban-laptop-quan-tan-phu-tp-ho-chi-minh/124512476.htm,1,16,512
 Macbook Pro 14” M1 Pro 16/512 chính hãng VN 99%,25990000,Quận 10,2025-04-29 01:54:33,Khác | 16 GB | 512 GB | SSD | ,5 ngày trước,https://cdn.chotot.com/Lp7Oa9irK0GLpiklDgjAUhirzuiyC3BBJbVXTvOy3WM/preset:listing/plain/41abbee86911e8c5d9c08a5cd3183c3c-2928315084131094616.jpg,https://www.chotot.com/mua-ban-laptop-quan-10-tp-ho-chi-minh/124532635.htm,1,16,512
" Macbook Pro 14"" M1 Pro 16/1TB Gray Care 09/25",27490000,Quận Tân Bình,2025-04-29 01:54:33,16 GB | 1 TB | SSD | ,6 ngày trước,https://cdn.chotot.com/CPhFaCbwCf0uBFTuH-yRiYb9ArMJkhOL5mik0K3NHtA/preset:listing/plain/26383fac94a1cfd88f15e0f706f51e81-2928153744595006948.jpg,https://www.chotot.com/mua-ban-laptop-quan-tan-binh-tp-ho-chi-minh/124503532.htm,1,16,1024
" Macbook Pro 14"" M1 Pro 16/1TB bhh t9",27500000,Quận Tân Bình,2025-04-29 01:54:33,Khác | 16 GB | 1 TB | SSD | ,6 ngày trước,https://cdn.chotot.com/FRIaByDprYVDhTAhRniPI5cR78758cGxvLuidm_hg0E/preset:listing/plain/600aa7b979b162c1e12938d49851ef5c-2928151395085340760.jpg,https://www.chotot.com/mua-ban-laptop-quan-tan-binh-tp-ho-chi-minh/124503040.htm,1,16,1024
 Macbook pro m1 14” 2021 16g/512g sạc91 lần bh3 th,21000000,Quận 3,2025-04-29 01:54:33,Unknown,5 ngày trước,https://cdn.chotot.com/EzKo8WlvNCKnM2qIZtloD15amXCBhj9vQuzCpTCTs2U/preset:listing/plain/82fb75687333a16237314eca80318b5c-2928284979653180642.jpg,https://www.chotot.com/mua-ban-laptop-quan-3-tp-ho-chi-minh/124524412.htm,1,16,512
" Macbook Pro 14"" M1 Pro 16/1TB 10/16gpu Fullbox 99%",27490000,Quận 10,2025-04-29 01:54:33,Khác | 16 GB | 1 TB | SSD | ,6 ngày trước,https://cdn.chotot.com/HQOCxRLL615xuP0RQA2bMpKeBuIebu4r9Jzs8I4kSUA/preset:listing/plain/83a5e8c17427cd6b7644c2ffa319aaae-2928151715077536057.jpg,https://www.chotot.com/mua-ban-laptop-quan-10-tp-ho-chi-minh/124503185.htm,1,16,1024
" Macbook Pro 14"" M1Pro/16Gb/1TB Gray Care+ 3/2025",27500000,Quận Bình Thạnh,2025-04-29 01:54:33,Khác | 16 GB | 1 TB | SSD | ,7 ngày trước,https://cdn.chotot.com/fgMK9PyXpbmbKAHClWReZExZ52A50qJDe-82Al5yALI/preset:listing/plain/32e77c45bf90928e2ac1d5f21703025f-2885965776953500516.jpg,https://www.chotot.com/mua-ban-laptop-quan-binh-thanh-tp-ho-chi-minh/117642455.htm,1,16,1024
" Apple MacBook Pro 2021 14"" M1Pro/16G/512GB likenew",28900000,Quận 1,2025-04-29 01:54:37,Khác | 16 GB | 512 GB | SSD | ,5 ngày trước,https://cdn.chotot.com/LcU_w1ql_9s0O_528w8tG4vAL9SX7B5z75PC9T2-ik0/preset:listing/plain/e803130e78ef98ab4a8eceec396158c3-2918980316985389424.jpg,https://www.chotot.com/mua-ban-laptop-quan-1-tp-ho-chi-minh/122922615.htm,2,16,512
